GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GraphRenderSystem,com.example.renderer.bridge,TestRenderer,0,171,0,2,0,24,0,10,0,9
GraphRenderSystem,com.example.renderer.bridge,Renderer,2,0,0,0,2,0,2,0,2,0
GraphRenderSystem,com.example.renderer.bridge,RendererFactory,10,87,0,6,1,22,2,9,2,6
GraphRenderSystem,com.example.renderer.bridge,SwingRenderer,10,164,6,18,2,43,6,16,0,10
GraphRenderSystem,com.example.renderer.bridge,SVGRenderer,12,247,2,8,3,44,3,12,1,9
GraphRenderSystem,com.example.renderer.core,ApplicationContext,3,81,1,5,1,23,2,7,1,5
GraphRenderSystem,com.example.renderer.adapter,LegacyRendererImpl,0,116,0,0,0,10,0,5,0,5
GraphRenderSystem,com.example.renderer.adapter,LegacyRendererAdapter,30,33,0,2,10,10,6,4,6,3
GraphRenderSystem,com.example.renderer.exception,RendererCreationException,0,9,0,0,0,4,0,2,0,2
GraphRenderSystem,com.example.renderer.singleton,PersistenceManager,5,86,2,4,1,25,2,6,0,5
GraphRenderSystem,com.example.renderer.command,UndoManager,0,103,0,10,0,28,0,13,0,8
GraphRenderSystem,com.example.renderer.command,DeleteShapeCommand,0,91,2,10,0,20,2,11,0,7
GraphRenderSystem,com.example.renderer.command,Command,6,0,0,0,3,0,3,0,3,0
GraphRenderSystem,com.example.renderer.command,MoveShapeCommand,1,98,1,13,0,23,1,13,0,7
GraphRenderSystem,com.example.renderer.command,AddShapeCommand,0,82,0,14,0,22,0,14,0,7
GraphRenderSystem,com.example.renderer.factory,Ellipse,28,65,0,0,8,15,6,9,6,9
GraphRenderSystem,com.example.renderer.factory,ShapeValidator,3,10,0,4,1,3,1,3,1,1
GraphRenderSystem,com.example.renderer.factory,ShapeFactoryImpl,0,145,0,10,0,19,0,10,0,5
GraphRenderSystem,com.example.renderer.factory,BasicShapeFactory,39,40,4,6,8,9,4,6,2,3
GraphRenderSystem,com.example.renderer.factory,Circle,13,65,0,2,5,18,2,10,2,9
GraphRenderSystem,com.example.renderer.factory,Triangle,13,108,0,0,5,22,2,11,2,11
GraphRenderSystem,com.example.renderer.factory,Shape,10,0,4,0,3,0,3,0,1,0
GraphRenderSystem,com.example.renderer.factory,Rectangle,9,102,0,4,3,25,1,12,1,10
GraphRenderSystem,com.example.renderer.ui,MainUI,3,11,0,0,1,5,1,2,1,2
GraphRenderSystem,com.example.renderer.ui,SwingUI,165,285,6,2,40,74,11,9,7,9
GraphRenderSystem,com.example.renderer.ui,DrawingPanel,6,56,1,3,1,15,1,3,0,2
GraphRenderSystem,com.example.renderer.visitor,XMLExportVisitor,0,190,2,8,0,22,2,8,0,5
GraphRenderSystem,com.example.renderer.visitor,JSONExportVisitor,15,152,5,5,3,14,5,5,0,5
GraphRenderSystem,com.example.renderer.config,GlobalConfig,28,67,5,7,6,22,4,8,0,6
GraphRenderSystem,com.example.renderer.observer,LoggingShapeObserver,0,22,0,0,0,7,0,3,0,3
GraphRenderSystem,com.example.renderer.observer,ShapeObserverImpl,0,7,0,0,0,3,0,2,0,2
GraphRenderSystem,com.example.renderer.observer,ShapeObservable,0,29,0,2,0,8,0,4,0,3
GraphRenderSystem,com.example.renderer.util,RuntimeTypeAdapterFactory.new TypeAdapter() {...},21,74,3,3,3,17,3,3,0,3
GraphRenderSystem,com.example.renderer.util,RuntimeTypeAdapterFactory,0,97,0,4,0,20,0,6,0,4
GraphRenderSystem,com.example.renderer.proxy,RemoteRendererProxy,39,125,3,1,15,21,6,5,4,5
